,alertgroup,firstoccurrence,alertkey,emsname,networktype,sitetype,towerco,maintenanceid,ispopsite,cleartime,zone,lastoccurrence,severity,identifier,atsite,standardalarmsubtype,standardalarmtype,sitecode,node,thana,domain,district,alarmid,alarmname,devicename,region,standardalarmname
0,Communication,2024-08-21 17:30:33,3159912|source=9233-CGPTG55_OSN55_1(CT3421_OSN-550) location=4-EM6F-1(PORT-1)-MAC:1|,Huawei NCE-TX,DWDM,Macro,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-21 17:30:33,2,1724239833000_ac20bf8385509f5171c3ca3bd0ae60244ea2b6a02ff39a7181da7e3ed365756c,Yes,0,0,CGPTG55,9233-CGPTG55_OSN55_1(CT3421_OSN-550),Patenga,1018,Chittagong,268374017-235,ETH_LOS,9233-CGPTG55_OSN55_1(CT3421_OSN-550),CHITTAGONG METRO,HUW-ETH_LOS
1,Communication,2024-08-21 01:41:12,3149709|source=8125-RPPGN02_OSN35_2 location=Communication with common NE 8125-RPPGN02_OSN35_2 is interrupted|,Huawei NCE-TX,DWDM,Macro,Robi Own,NCR-NCR-20240820-00000855,Yes,1970-01-01 06:00:00,NCCD,2024-08-21 01:41:12,2,1724182872000_5079110bbf2176ebf442f57163f7d973637faeb40a45e5c23bf6c198a7d66de7,No,0,0,RPPGN02,8125-RPPGN02_OSN35_2,Pirganj,1018,Rangpur,100000-1,NE_COMMU_BREAK,8125-RPPGN02_OSN35_2,RANGPUR,HUW-NE_COMMU_BREAK
2,Communication,2024-08-21 01:40:02,3149077|source=8074-RPPGN02_OSN15_1 location=Communication with common NE 8074-RPPGN02_OSN15_1 is interrupted|,Huawei NCE-TX,DWDM,Macro,Robi Own,NCR-NCR-20240820-00000855,Yes,1970-01-01 06:00:00,NCCD,2024-08-21 01:40:02,2,1724182802000_52671328b6ba8a86b9d47edab96f6dae32a58135fb12b38cfcbb1f134da50b1c,No,0,0,RPPGN02,8074-RPPGN02_OSN15_1,Pirganj,1018,Rangpur,100000-1,NE_COMMU_BREAK,8074-RPPGN02_OSN15_1,RANGPUR,HUW-NE_COMMU_BREAK
3,Communication,2024-08-19 03:26:26,"3148185|source=8063-NGRPG01_OSN35_2 location=3-N1SLH1-1(ICX155-NGRPG01_OSN35_2_S3P1-DG1002IXVTEL01/STM02/05/03/01)-SPI:1|
Alarm Parameter II(hex) 0x01 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Macro,edotco Bangladesh Company  Ltd,,Yes,1970-01-01 06:00:00,DHK,2024-08-19 03:26:26,2,1724016386000_a6aa013faee49708b87da5dd4078369bdbf165ebe08385c01776158c31ff319c,No,0,0,NGRPG01,8063-NGRPG01_OSN35_2,Rupganj,1018,Narayanganj,268374017-1,R_LOS,8063-NGRPG01_OSN35_2,DHAKA NORTH,HUW-R_LOS
4,Communication,2024-08-12 10:19:45,"3147969|source=8025-CGHTZ18_OSN35_1 location=14-N1SLH1-5(CGHTZ18-EMTN-20P C_LTU19)-SPI:1|
Alarm Parameter(hex) 0x05 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Macro,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-12 10:19:45,2,1723436385000_cdc32e4e450dd54ea6ee7dfb98819122747f237e7349aa87dd989e3021920060,Yes,0,0,CGHTZ18,8025-CGHTZ18_OSN35_1,Hathazari,1018,Chittagong,268374017-1,R_LOS,8025-CGHTZ18_OSN35_1,CHITTAGONG NORTH,HUW-R_LOS
5,Communication,2024-08-05 06:48:18,"3159520|source=9036-CGSKD68_OSN35_1(CT3445-H3500-A) location=16-N2SLO1-3(SDH-3)-SPI:1|
Alarm Parameter(hex) 0x03 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Tx Only,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-05 06:48:18,2,1722818898000_1313904344a49c9f5e848d36f72478777a27088a63bd3b4b7bf9d3d672c0e9bd,Yes,0,0,CGSKD68,9036-CGSKD68_OSN35_1(CT3445-H3500-A),Sitakunda,1018,Chittagong,268374017-1,R_LOS,9036-CGSKD68_OSN35_1(CT3445-H3500-A),CHITTAGONG METRO,HUW-R_LOS
6,Communication,2024-08-05 06:48:18,"3159520|source=9036-CGSKD68_OSN35_1(CT3445-H3500-A) location=16-N2SLO1-4(SDH-4)-SPI:1|
Alarm Parameter(hex) 0x04 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Tx Only,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-05 06:48:18,2,1722818898000_455e62f610a757b08b923a8bded1dd809d0a36c113208cb0654f3bd7f9b7ebed,Yes,0,0,CGSKD68,9036-CGSKD68_OSN35_1(CT3445-H3500-A),Sitakunda,1018,Chittagong,268374017-1,R_LOS,9036-CGSKD68_OSN35_1(CT3445-H3500-A),CHITTAGONG METRO,HUW-R_LOS
7,Communication,2024-08-05 06:48:18,"3159520|source=9036-CGSKD68_OSN35_1(CT3445-H3500-A) location=16-N2SLO1-2(SDH-2)-SPI:1|
Alarm Parameter(hex) 0x02 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Tx Only,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-05 06:48:18,2,1722818898000_4cf4f2939d3d5d48715b0187092a22ab39291a30edf5d6e450491a65dbdcea73,Yes,0,0,CGSKD68,9036-CGSKD68_OSN35_1(CT3445-H3500-A),Sitakunda,1018,Chittagong,268374017-1,R_LOS,9036-CGSKD68_OSN35_1(CT3445-H3500-A),CHITTAGONG METRO,HUW-R_LOS
8,Communication,2024-08-05 06:48:18,"3159520|source=9036-CGSKD68_OSN35_1(CT3445-H3500-A) location=16-N2SLO1-1(SDH-1)-SPI:1|
Alarm Parameter(hex) 0x01 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Tx Only,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-05 06:48:18,2,1722818898000_6293716e234ba68b5c6aca400209a25346fc94247fc652569a91f5ca9a99318a,Yes,0,0,CGSKD68,9036-CGSKD68_OSN35_1(CT3445-H3500-A),Sitakunda,1018,Chittagong,268374017-1,R_LOS,9036-CGSKD68_OSN35_1(CT3445-H3500-A),CHITTAGONG METRO,HUW-R_LOS
9,Communication,2024-08-05 06:48:18,"3159520|source=9036-CGSKD68_OSN35_1(CT3445-H3500-A) location=16-N2SLO1-6(SDH-6)-SPI:1|
Alarm Parameter(hex) 0x06 0x00 0x01 0xff 0xff",Huawei NCE-TX,DWDM,Tx Only,AT,,Yes,1970-01-01 06:00:00,CC,2024-08-05 06:48:18,2,1722818898000_9a82b698557f3294fc7361db93b7742fd167c7be15cc43547a1f1822d66009fa,Yes,0,0,CGSKD68,9036-CGSKD68_OSN35_1(CT3445-H3500-A),Sitakunda,1018,Chittagong,268374017-1,R_LOS,9036-CGSKD68_OSN35_1(CT3445-H3500-A),CHITTAGONG METRO,HUW-R_LOS
