BSC,CELL,max ti,Max_Cong,Max Tch,Insert_DATE,ENM
CBEB6,CB6YI9C,0.34,0,37,12/10/2025 14:54,CTG
CBEB6,CB6YS0A,0.35,0,37,12/10/2025 14:54,CTG
CBEB6,CB6YS0B,0.25,0,37,12/10/2025 14:54,CTG
CBEB3,CGSKD34B,0.41,0,37,12/10/2025 14:54,CTG
CBEB3,CGSKD34C,0.39,0,37,12/10/2025 14:54,CTG
CBEB3,CGSKD36A,0.38,0,37.02,12/10/2025 14:54,CTG
CBEB4,CB4D60A,0.39,0,27.93,12/10/2025 14:54,CTG
CBEB4,CB4D60B,0.34,0,36.73,12/10/2025 14:54,CTG
CBEB4,CB4D60C,0.41,0,44.7,12/10/2025 14:54,CTG
CBEB4,CB4WI7B,0.31,0,13.75,12/10/2025 14:54,CTG
CBEB4,CB4WJ4A,0.3,0,29.03,12/10/2025 14:54,CTG
CBEB4,CGRZN17B,0.24,0,36.02,12/10/2025 14:54,CTG
CBEB4,CGRZN17C,0.29,0,36.01,12/10/2025 14:54,CTG
CBEB4,CGRZN21C,0.42,0,36.87,12/10/2025 14:54,CTG
CBEB5,CB5176B,0.28,0,21.44,12/10/2025 14:54,CTG
CBEB5,CB5218B,1.29,0,28.93,12/10/2025 14:54,CTG
CBEB5,CB5M50L,0.22,0,21.93,12/10/2025 14:54,CTG
CBEB5,CB5M52L,0.58,0.6,5.93,12/10/2025 14:54,CTG
CBEB5,CB5M61B,0.6,0,36.93,12/10/2025 14:54,CTG
CBEB5,CB5R18C,0.37,0,37,12/10/2025 14:54,CTG
CBEB5,CB5S38A,0.2,0,21.58,12/10/2025 14:54,CTG
CBEB6,CB6919C,0.61,0,50.72,12/10/2025 14:54,CTG
CBEB6,CB6A1EA,0.76,0,28.22,12/10/2025 14:54,CTG
CBEB6,CB6A1EB,0.62,0,28.73,12/10/2025 14:54,CTG
CBEB6,CB6A31A,0.32,0,59.06,12/10/2025 14:54,CTG
CBEB6,CB6A32A,0.4,0,37,12/10/2025 14:54,CTG
CBEB6,CB6H80B,0.87,0,58.86,12/10/2025 14:54,CTG
CBEB6,CB6H80C,1.42,0,20.43,12/10/2025 14:54,CTG
CBEB3,CGSKD36B,0.42,0,36.31,12/10/2025 14:54,CTG
CBEB3,CGSKD36C,0.69,0,28.87,12/10/2025 14:54,CTG
CBEB3,CGSKD38A,0.55,0,60.19,12/10/2025 14:54,CTG
CBEB3,CGSKD38B,0.45,0,37,12/10/2025 14:54,CTG
CBEB4,CB4197A,0.37,0,44.73,12/10/2025 14:54,CTG
CBEB4,CB4197B,0.62,0,44.8,12/10/2025 14:54,CTG
CBEB4,CB4197C,0.57,0,36.87,12/10/2025 14:54,CTG
CBEB4,CB4WK1A,0.32,0,21.49,12/10/2025 14:54,CTG
CBEB4,CGHTZ20A,0.66,0,60.09,12/10/2025 14:54,CTG
CBEB4,CGHTZ20B,1.06,0,36.02,12/10/2025 14:54,CTG
CBEB4,CGHTZ20C,1.04,0,51.81,12/10/2025 14:54,CTG
CBEB4,CGHTZ24A,0.46,0,36.44,12/10/2025 14:54,CTG
CBEB5,CB5290A,0.24,0,21.54,12/10/2025 14:54,CTG
CBEB5,CB5290B,0.17,0,21.64,12/10/2025 14:54,CTG
CBEB5,CB5291A,0.3,0,21.64,12/10/2025 14:54,CTG
CBEB5,CB5S38B,0.43,0,21.46,12/10/2025 14:54,CTG
CBEB5,CB5S38C,0.43,0,51.87,12/10/2025 14:54,CTG
CBEB5,CB5S52A,0.39,0,36.02,12/10/2025 14:54,CTG
CBEB5,CB5S52C,0.35,0,21.48,12/10/2025 14:54,CTG
CBEB6,CB6039C,0.3,0,37.01,12/10/2025 14:54,CTG
CBEB6,CB6059A,0.95,0,58.56,12/10/2025 14:54,CTG
CBEB6,CB6059B,0.3,0,53,12/10/2025 14:54,CTG
CBEB6,CB6059C,0.68,0,43.93,12/10/2025 14:54,CTG
CBEB3,CGHTZA9A,0.29,0,37,12/10/2025 14:54,CTG
CBEB3,CGHTZB4B,0.6,0,52.59,12/10/2025 14:54,CTG
CBEB3,CGHTZB4C,0.75,0,57.06,12/10/2025 14:54,CTG
