LINK_ID,LINK_CODE,COST_CODE,VENDOR,CONTRACT,LINK_TYPE,BUCKET,LINK_CAPACITY,UNIT_COST_PER_MBPS_MONTHLY,PO_STATUS,SITECODE,OLD_SITECODE,SITE_NAME,PHASE,ORIGIN,HO_SITECODE,HO_SITE_NAME,REGION,INTERNAL_REMARKS,CEP_EXECUTION_DATE,POP_STATUS,LOCK_IN_CEP_POP_REMARKS,EXPIRE_DATE,TERMINATION_DATE,TERMINATION_STATUS,CLUSTER_NAME_CEP,PAT_DATE,PAT_STATUS,LAST_INVOICE,LOCK_IN_STATUS,FIBER_MASTER_PLAN,EFFECTIVE_START_TIME,EFFECTIVE_END_TIME,IS_CURRENT,USER
100000,FHL01353,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,1500,209.57,Yes,BBSDR01,NA,Army Para,Photonic New lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Outer,NA,1/1/1970,NA,NA,10/1/2024,1/1/1970,NA,NA,11/4/2018,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100001,FHL01354,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,1600,209.57,Yes,BGMRL06,,Kalikabari 32m Land,2200 NodeB,Robi,KHSDR04,Shilpa Bank,Khulna, ,1/1/1970,NA, ,1/0/1900,1/1/1970,, ,4/30/2017,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
100002,FHL01359,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,2200,209.57,Yes,BMNBG13,,Borail Bazar 25m,2200 NodeB,Robi,GPSDRO5,Dhaka3,Sylhet South, ,1/1/1970,NA, , ,1/1/1970,, ,4/17/2017,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
100003,FHL01363,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,900,209.57,Yes,BOKHL04,,Depuil 55m Land,2200 NodeB,Robi,BOSJP03,Majhira,Bogra, ,1/1/1970,NA, , ,1/1/1970,, ,5/24/2017,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100004,FHL01364,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,350,209.57,Yes,BOSDR01,,ABPlaza,Phase#4C,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, ,10/1/2024,1/1/1970,, ,3/21/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
100005,FHL01366,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,200,209.57,Yes,BOSDR09,,Naruli,Photonic New lease,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, ,10/1/2024,1/1/1970,, ,1/9/2018,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100006,FHL01369,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,350,209.57,Yes,BOSDR45,BO6557,Rahmannagor,Photonic New lease,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, , ,1/1/1970,, ,2/24/2018,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
100007,FHL01370,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,515,209.57,Yes,BOSDR46,BO6546,Kanuchgari,Photonic New lease,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, , ,1/1/1970,, ,1/9/2018,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
100008,FHL01371,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,1060,209.57,Yes,BOSDR52,BO6509,Akashtara,Photonic New lease,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, ,10/1/2024,1/1/1970,, ,2/24/2018,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100009,FHL01372,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,500,209.57,Yes,BOSDR68,BO6510,MCBO6510,Photonic New lease,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, , ,1/1/1970,, ,7/23/2018,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
100010,FHL01374,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,300,209.57,Yes,BOSJP06,,Kaigari,Photonic New lease,Robi,BOSJP02,Bogra Backbone 75m,Bogra, ,1/1/1970,NA, , ,1/1/1970,, ,1/9/2018,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
100011,FHL01377,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,2600,209.57,Yes,CGANW08,,Minnat_Ali_hat_Land_55m,Phase#4B,Robi,CGDMG29,Akhteruzzaman,Chittagong Outer, ,1/1/1970,NA, ,6/1/2021,1/1/1970,, ,10/1/2016,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
100012,FHL01384,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,710,209.57,Yes,CGCND30,,Younus Market_Relocation,Photonic New lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Outer, ,1/1/1970,NA, , ,1/1/1970,, ,1/22/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
100013,FHL01391,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,150,209.57,Yes,CGDMGB4,CT3312,"Beparipara, South Agrabad",Photonic New lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,1/1/1970,NA, ,9/1/2024,1/1/1970,, ,7/10/2019,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
100014,FHL01393,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,1810,209.57,Yes,CGFTK21,,Azimpur Land,Photonic New lease,Robi,CGCDG41,Bahaddarhat,Chittagong North, ,1/1/1970,NA, ,3/7/2024,1/1/1970,,CG North,1/21/2018,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100015,FHL01396,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,530,209.57,Yes,CGFTKG3,CGFTKG3/CGFTK36/CGFTKG4,Chikonchara_Reloc,Photonic ultra NL,Robi,CGCDG41,Bahaddarhat,Chittagong North, ,1/1/1970,NA, ,3/7/2024,1/1/1970,,CG North,6/11/2018,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100016,FHL01408,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,2000,209.57,Yes,CGHTZ33,,Shikarpur,Photonic New lease,Robi,CGCDG41,Bahaddarhat,Chittagong North, ,1/1/1970,NA, ,3/7/2024,1/1/1970,,CG North,12/31/2017,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100017,FHL01413,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,660,209.57,Yes,CGHTZ79,CT3396,Fatehpur_Hathazari,Photonic New lease,Robi,CGCDG41,Bahaddarhat,Chittagong North, ,1/1/1970,NA, ,3/7/2024,1/1/1970,,CG North,12/30/2017,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
100018,FHL01414,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,300,209.57,Yes,CGHTZ81,CGHTZ57,CT3398,AT/photonic scope,Airtel,CGDMG29,Akhteruzzaman,Chittagong North, ,1/1/1970,NA, , ,1/1/1970,, ,12/1/2015,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
100019,FHL01415,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,400,209.57,Yes,CGKTL03,,Nalapara,Photonic New lease,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,1/1/1970,NA, ,9/1/2024,1/1/1970,, ,1/14/2018,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
