bsc,cell,max_intensity,max_congestion,max_avail_tch_mean
CBEB6,CB6YI9C,0.34,0.0,37.0
CBEB6,CB6YS0A,0.35,0.0,37.0
CBEB6,CB6YS0B,0.25,0.0,37.0
CBEB6,CB6YS0C,0.43,0.0,29.0
CBEB6,CB6YS2A,0.47,0.0,21.2
CBEB6,CB6YS2B,0.28,0.0,21.17
CBEB3,CGSKD34A,0.29,0.0,29.0
CBEB3,CGSKD34B,0.41,0.0,37.0
CBEB3,CGSKD34C,0.39,0.0,37.0
CBEB3,CGSKD36A,0.38,0.0,37.02
CBEB4,CB4D57C,0.46,0.0,29.0
CBEB4,CB4D60A,0.39,0.0,27.93
CBEB4,CB4D60B,0.34,0.0,36.73
CBEB4,CB4D60C,0.41,0.0,44.7
CBEB4,CB4WI7A,0.33,0.0,21.31
CBEB4,CB4WI7B,0.31,0.0,13.75
CBEB4,CB4WI7C,0.43,0.0,29.05
CBEB4,CB4WJ4A,0.3,0.0,29.03
CBEB4,CB4WJ4B,0.39,0.0,21.01
CBEB4,CB4WJ4C,0.17,0.0,14.0
CBEB4,CGRZN17B,0.24,0.0,36.02
CBEB4,CGRZN17C,0.29,0.0,36.01
CBEB4,CGRZN21A,0.39,0.0,29.0
CBEB4,CGRZN21B,0.4,0.0,21.01
CBEB4,CGRZN21C,0.42,0.0,36.87
CBEB4,CGRZN25A,0.43,0.0,21.03
CBEB5,CB5176B,0.28,0.0,21.44
CBEB5,CB5176C,0.43,0.0,29.11
CBEB5,CB5218A,0.65,0.0,29.03
CBEB5,CB5218B,1.29,0.0,28.93
CBEB5,CB5M50L,0.22,0.0,21.93
CBEB5,CB5M52L,0.58,0.6,5.93
CBEB5,CB5M61A,0.49,0.0,21.01
CBEB5,CB5M61B,0.6,0.0,36.93
CBEB5,CB5M61C,0.18,0.0,29.01
CBEB5,CB5M78A,0.55,0.0,29.0
CBEB5,CB5M78B,0.42,0.0,29.09
CBEB5,CB5R18B,0.31,0.0,21.35
CBEB5,CB5R18C,0.37,0.0,37.0
CBEB5,CB5S38A,0.2,0.0,21.58
CBEB6,CB6919C,0.61,0.0,50.72
CBEB6,CB6A1EA,0.76,0.0,28.22
CBEB6,CB6A1EB,0.62,0.0,28.73
CBEB6,CB6A1EC,0.76,0.0,28.0
CBEB6,CB6A31A,0.32,0.0,59.06
CBEB6,CB6A31B,0.22,0.0,29.03
CBEB6,CB6A31C,0.3,0.0,28.08
CBEB6,CB6A32A,0.4,0.0,37.0
CBEB6,CB6H80B,0.87,0.0,58.86
CBEB6,CB6H80C,1.42,0.0,20.43
CBEB3,CGSKD36B,0.42,0.0,36.31
CBEB3,CGSKD36C,0.69,0.0,28.87
CBEB3,CGSKD38A,0.55,0.0,60.19
