BSC,CELL,THRAV,THRVP,THRDV,RULES_APPLIED,MaxTi,MaxCong,MaxTch,VAMOS,ENM,DATA_OF
CBEB6,CB6YI9C,3,3,10,Default,0.34,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEB6,CB6YS0A,3,3,10,Default,0.35,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEB6,CB6YS0B,3,3,10,Default,0.25,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEB6,CB6YS0C,4,4,11,Default,0.43,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB6,CB6YS2A,5,5,15,Default,0.47,0.0,21.2,PLANNED,NA,2025-12-10 14:54:56
CBEB6,CB6YS2B,5,5,15,Default,0.28,0.0,21.17,PLANNED,NA,2025-12-10 14:54:56
CBEB3,CGSKD34A,4,4,11,Default,0.29,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB3,CGSKD34B,3,3,10,Default,0.41,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEB3,CGSKD34C,3,3,10,Default,0.39,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEB3,CGSKD36A,3,3,10,Default,0.38,0.0,37.02,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4D57C,4,4,11,Default,0.46,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4D60A,4,4,11,Default,0.39,0.0,27.93,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4D60B,3,3,10,Default,0.34,0.0,36.73,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4D60C,3,3,10,Default,0.41,0.0,44.7,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4WI7A,5,5,15,Default,0.33,0.0,21.31,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4WI7B,8,8,22,Default,0.31,0.0,13.75,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4WI7C,4,4,11,Default,0.43,0.0,29.05,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4WJ4A,4,4,11,Default,0.3,0.0,29.03,PLANNED,NA,2025-12-10 14:54:56
CBEB4,CB4WJ4B,5,5,15,Default,0.39,0.0,21.01,PLANNED,NA,2025-12-10 14:54:56
