BSC,CELL,THRAV_P,THRVP_P,THRDV_P,THRAV_C,THRVP_C,THRDV_C,RULES_APPLIED,MaxTi,MaxCong,MaxTch,DATA_OF,ENM,COMMAND,EXECUTION,LOG,EXECUTION_TIME
CBEB6,CB6YI9C,3,3,10,3,3,9,Default,0.34,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6YS0A,3,3,10,3,3,9,Default,0.35,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6YS0B,3,3,10,3,3,9,Default,0.25,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD34B,3,3,10,3,3,9,Default,0.41,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD34C,3,3,10,3,3,9,Default,0.39,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD36A,3,3,10,3,3,9,Default,0.38,0.0,37.02,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4D60A,4,4,11,4,4,12,Default,0.39,0.0,27.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4D60B,3,3,10,3,3,9,Default,0.34,0.0,36.73,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4D60C,3,3,10,3,3,7,Default,0.41,0.0,44.7,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4WI7B,8,8,22,8,8,23,Default,0.31,0.0,13.75,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4WJ4A,4,4,11,11,11,21,Default,0.3,0.0,29.03,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CGRZN17B,3,3,10,3,3,9,Default,0.24,0.0,36.02,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CGRZN17C,3,3,10,3,3,9,Default,0.29,0.0,36.01,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CGRZN21C,3,3,10,3,3,9,Default,0.42,0.0,36.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5176B,5,5,14,5,5,15,Default,0.28,0.0,21.44,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5218B,25,25,50,4,4,11,Ti: 1.1-1.3,1.29,0.0,28.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5M50L,5,5,14,5,5,15,Default,0.22,0.0,21.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5M52L,50,50,100,17,17,50,Cong: >0-2,0.58,0.6,5.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5M61B,3,3,10,3,3,9,Default,0.6,0.0,36.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5R18C,3,3,10,3,3,9,Default,0.37,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB5,CB5S38A,5,5,14,5,5,15,Default,0.2,0.0,21.58,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6919C,2,2,10,2,2,6,Default,0.61,0.0,50.72,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6A1EA,4,4,11,12,12,23,Default,0.76,0.0,28.22,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6A1EB,4,4,11,11,11,22,Default,0.62,0.0,28.73,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6A31A,2,2,10,2,2,6,Default,0.32,0.0,59.06,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6A32A,3,3,10,3,3,9,Default,0.4,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6H80B,2,2,10,2,2,6,Default,0.87,0.0,58.86,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB6,CB6H80C,40,40,80,3,3,7,Ti: 1.3-1.5,1.42,0.0,20.43,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD36B,3,3,10,3,3,9,Default,0.42,0.0,36.31,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD36C,4,4,11,11,11,22,Default,0.69,0.0,28.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD38A,2,2,10,2,2,6,Default,0.55,0.0,60.19,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB3,CGSKD38B,3,3,10,3,3,9,Default,0.45,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4197A,3,3,10,3,3,7,Default,0.37,0.0,44.73,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4197B,3,3,10,3,3,7,Default,0.62,0.0,44.8,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4197C,3,3,10,3,3,9,Default,0.57,0.0,36.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CB4WK1A,5,5,14,5,5,15,Default,0.32,0.0,21.49,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CGHTZ20A,2,2,10,2,2,6,Default,0.66,0.0,60.09,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEB4,CGHTZ20B,10,10,20,3,3,9,Ti: 1-1.1,1.06,0.0,36.02,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
